4,CONCRETE WORK,,
,SUB STRUCTURE,,
a,C-7 Lean Concrete (Hand mix) (C-7),m²,751.11
b,C-5 Lean Concrete (Hand mix) (C-5),m²,713.67
c,C-15 l0cm thick mass concrete pavement cost include hard core & 7cm,m²,"3,417.50"
d,"Mortar production (ratio , 1:3)",m³,l4.858.24
e,"Light Weight Concrete (ratio, 1:2:5)",m³,"15,504.69"
f,10cm Thick C-15 mass Concrete,m²,"1,561.29"
g,Supply & Apply polymer modified Semielastic cementitious coating ,m²,842.11
h,Supply & Apply 4mm thick approved quality water proof membrane,m²,"2,024.39"
i,Supply & Apply ACRYLIC approved quality water proof.,m²,"1,391.30"
j,l0mm thick stayrofoam expansion joint between ground floor slab &,ml,247.21
k,20mm thick stayrofoam expansion joint between ground fioor slab &,ml,342.65
i,GRP Water Tanker with all fitting accessories,m³,"85,000.00"
,SUB STRUCTURE,,
4.1,R.C. C-15 280 kg of cement per m3 with drum mixer,,
4.1.1,C-15 Concrete (Mechanical Mix) 1 :2:4 with admixture,m³,"18,040.92"
4.1.2,"C-15 Concrete (Mechanical Mix) 1 :2:4 for Footing ,Beam and slab",m³,"I 7,376 92"
4.1.3,"C-1 5 Concrete (Mechanical Mix) 1:2:4 for Column ,shear wall",m³,"16,215.96"
4.2,R.C. C-20 336 kg of cement per m3 with drum mixer,,
4.2.1,C-20 Concrete (Mechanical Mix) 1 :2:3 with admixture,m³,"17,033.09"
4.2.2,"C-20 Concrete (Mechanical Mix) 1:2:3 for Footing ,Beam and slab",m³,"l 6,369.09"
4.2.3,"C-20 Concrete (Mechanical Mix) 1:2:3 for Column ,shear wall",m³,"16,971.96"
4.3,R.C. C-25 378 hg of cement per m3 with drum mixer,,
4.3.1,C-25 Concrete (Mechanical Mix) l:2:3 with admixture,m³,"l 9,822.41"
4.3.2,"C-25 Concrete (Mechanical Mix) l:2:3 for Footing ,Beam and slab",m³,19.158.42
4.3.3,"C-25 Concrete (Mechanical Mix) 1:2:3 for Column ,shear wall",m³,"19,761.29"
4.3.4,C-25 Concrete (Mechanical Mix) l:2:3 for l0cm thick slab,m²,"1,915.84"
4.4,R.C. C-30 420 kg of cement per m3 with drum mixer,,
4.4.1,C-3O Concrete (Mechanical Mix) 1 :2:3 with admixture,m³,"20,830.41"
4.4.2,"C-30 Concrete (Mechanical Mix) I :2:S for Fooling ,Beam and slab",m³,"20,166.42"
4.4.3,"C-30 Concrete (Mechanical lix) 1 :2:3 for Column ,shear wall",m³,"20,769.29"
,SUPER STRUCTURE,,
4.7,R.C. C-25 378 kg of cement per m3 with drum mixer,,
4.7.1,C-25 Concrete (Mechanical Mix) 1 :2:3 with admixture,m³,"20,499.27"
4.7.2,C-25 Concrete (Mechanical Mix) 1 :2:3 for Beam and slab,m³,"19,835.27"
4.7.3,"C-25 Concrete (Mechanical Mix) l:2:3 for Column ,shear wall",m³,"20,525.83"
4.7.4,C-25 Concrete (Mechanical Mix) I :2:o for Stair case,m³,"21,019.09"
