,DESCRIPTION,UNIT,"2018 3rd
 Quarter (Only Direct cost)"
1.1,"Load and cart away all demolishing & dismantling
 material to an appropriate tip. (Manually)",,
1.1.1,Demolishing the lamera call,m²,170.46
1.1.2,Demolishing the existing CIS wall,m²,31.96
1.1.3,Demolishing of wooden wall,m²,180.58
1.1.4,Demolishing of gypsum wall,m²,90.29
1.1.5,Demolishing the CIS roof,m²,51.14
1.1.6,Demolishing of 7x5 cm zigba purlins,ml,25.57
1.1.7,Demolishing of eucalyptus upper & lower chords,ml,79.17
1.1.8,Dimolish RHS purline,ml,42.61
1.1.9,Dimolishing the RHS truss.,ml,102.03
1.1.10,Desmantling Gutter,ml,34.06
1.1.11,Desmantling down pipe,ml,69.46
1.1.12,Demolishing the chipwood ceiling,m²,118.51
1.1.13,Demolishing the tember ceiling,m²,164.59
1.1.14,Demolishing the abujedid ceil ing,m²,41.15
1.1.15,Dismantle the metal doors from the wall.,m²,167.98
1.1.16,Dismantle the metal winriows from the wall.,m²,151.19
1.1.17,Dismantling fascia board,ml,47.29
1.1.18,Dismantling ridge & copping,ml,68. 11
1.1.19,Demolishing the PVC floor tile,m²,45.14
1.1.20,Demolishing kitchen sink,pcs,69.48
1.1.21,"Demolishing toilet WC,HW,turkish seat",pcs,208.44
1.1.22,Dismantling of wooden door & window,m²,134.78
1.2,Demolishing Work of different structures N.B. price include clearing the working area & dispose debri (at inside Construction Site) as indicated the supervisour,,
1.2.1,Masonary Structure (BGL),m³,571.53
1.2.2,Masonary Structure (AGL),m³,762.04
1.2.3,Demolishing of 25cm thick hardcore,m²,53.78
1.2.4,Concrete Structures,m³,2533.86
1.2.5,10 cm thick HCB Structure,m²,54.68
1.2.6,15 cm thick HCB StruCture,m²,72.61
1.2.7,20 cm thick HCB Str Picture,m²,101.65
1.2.8,Terrazzo floor,m²,112.95
1.2.9,Cement screed floor,m²,25.41
1.2.10,8cm thick Mass concrete floor,m²,33.88
1.2.11,30x120x3cm thick marble tread,pcs,224.71
1.2.12,15x120x3cm thick marble riser,pcs,168.53
1.2.13,Steel Structure,Kg,10.54
1.2.14,Demolishing the ceramic wall tile,m²,112.95
1.2.15,Demolishing the ceramic fioor tile (6 & 8 mm thick),m²,127.07
,(From 1st -3rd floor),,
1.2.14,Concrete Sltuctures,m³,3166.43
1.2.15,l0cm thick HCB Structure,m²,76.93
1.2.16,I 5cm thick HCB Structure,m²,98.91
1.2.17,20cm thick UCB Structure,m²,138.48
1.2.18,"""1 errazzo floor",m²,147.46
1.2.19,Cement screed floor,m²,33.18
1.2.20,30x I20x3cm thick marble tread,m²,276.48
1.2.21,15 x 120x3cm thick marble riser,m²,207.36
1.2.22,Steel Structure,kg,12.96
1.2.23,Demolishing the ceramic wall file,m²,147.46
1.2.24,Demolishing the ceramic floor tile ( 6 & 8 mm thick),m²,165.9
,(From 4th -7th fioor),,
1.2.29,Concrete Structures,m³,"3,942.99"
1.2.30,10 cm thick HCB Structure,m²,78.99
1.2.31,15 cm thick HCB Structure,m²,101.56
1.2.32,20cm thick HCB Structure,m²,142.19
1.2.33,Terrazzo fioor,m²,157.99
1.2.34,Cement screed floor,m²,35.55
1.2.35,30x 120x3cm thick marble tread,m²,318.65
1.2.36,15x l20x3cm thick marble riser,m²,238.99
1.2.37,Steel Structure,kg,19.06
1.2.38,Demolishing the ceramic wall lile,m²,181.98
1.2.39,Demolishing the ceramic floor tile (6 & 8 mm thick),m²,204.72
,(From 8th -12th floor),,
1.2.32,Concrete Structures,m³,"4,719.55"
1.2.33,10cm thick HCB Structure,m²,112.61
1.2.34,15cm thick HCB Structure,m²,l 23.75
1.2.35,20cm thick HCB Structure,m²,173.25
1.2.36,Terrazzo floor,m²,192.5
1.2.37,Cement screed floor,m²,43.31
1.2.38,30x I 20x3crn thick marble tread,m²,370.42
1.2.39,15x 120x3 cm thick marble riser,m²,277.81
1.2.40,Steel Strutcture,kg,18.72
1.2.41,Demolishing the ceramic wall tile,m²,216.49
1.2.42,Demolishing the ceramic floor tile (6 & 8 mm thick),m²,243.55
,(From 13th -20th floor),,
1.2.41,Concrete Structures,m³,5496 11
1.2.42,10cm thick HCB Structure,m²,113.5 I
1.2.43,l5cm thick HCB Structure,m²,145.94
1.2.44,20cm thick HCB Structure,m²,204.31
1.2.45,Terrazzo floor,m²,227.01
1.2.46,Cement screed floor,m²,51 .08
1.2.47,30x120x3cm thick marble tread,m²,422.19
1.2.48,15x l 20x3cm thick marble riser,m²,316.64
1.2.49,Steel Structure,kg,21.14
1.2.50,Demolishing the ceramic wall tile,m²,251.0 I
1.2.51,Demolishing the ceramic floor tile (6 & 8 mm thick),m²,282.38
