2,Excavation and earth work (የአፈር ቁፋሮ),,,
2.1,Site clearance and excavation (mechanized),,,
2.1 .1,20cm. Clearing on wet & black soil.,,m²,96.92
2.2,Bulk excavation in loose & dry soil,,,
2.2.1,to a depth not exceeding 1.5m,,m³,368.82
2.2.2,to a depth exceeding 1.50m but not exceeding 3.00m,,m³,452.1
2.2.3,to a depth exceeding 3.00m bul not exceeding 4.50m,,m³,547.47
2.2.4,to a depth exceeding 4.50m but not exceeding 6.00m,,m³,625.67
2.2.5,to a depth exceeding 6.00m but not exceeding 7.50m,,m³,729.95
2.2.6,to a depth exceeding 7.50m but not exceeding 9.00m,,m³,875.94
2.2.7,to a depth exceeding 9.00m but not exceeding l0.50m,,m³,973.27
2.3,Pit excavation in loose and dry soil,,,
2.3.1,to a depth not exceeding 1500cm loose and dry soil,,m³,417.12
2.3.2,to a depth not exceeding 1500cmbut not exceeding 3000mm,,m³,476.7
2.3.3,to a depth not exceeding 3000cmbut not exceeding 4500mm,,m³,556.15
2.3.4,to a depth not exceeding 4500cmbut not exceeding 6000mm,,m³,667. 9
2.3.5,to a depth not exceeding 6000cmbut not exceeding 7500mm,,m³,834.23
2.3.6,to a depth not exceeding 7500cmbut not exceeding 9000mm,,m³,"1,053.77"
2.3.7,to a depth not exceeding 9000cmbut not exceeding 10500mm,,m³,"1,430.11"
2.4,Bulk excavation in soft rock,,,
2.4.1,not exceeding 1.5m,,m³,666.44
2.4.2,"Over 1.50m , not exceeding 3m",,m³,759.96
2.4.3,"Over 3.0m,not exceeding 4.5m",,m³,922.48
2.4.4,"Over 4.5m,not exceeding 6.0rn",,m³,"1,317.83"
2.4.5,"Over 6.0m,not exceeding 7.5m",,m³,"l,882.62"
2.4.6,"Over 7.5m,not exceeding 9.0m",,m³,"2,689.46"
2.4.7,"Over 9.0m,not exceeding 10.5in",,m³,"3,842.08"
2.5,Pit excavation in soft rock,,,
2.5.1,not exceeding 1.5m,,m³,829.34
2.5.2,"Over 1.50m , not exceeding 3m",,m³,9 I 1.37
2.5.3,"Over 3.0m,not exceeding 4.5m",,m³,1128.36
"2.5,4","Over 4.5m,not exceeding 6.0rn",,m³,1116.84
2.5.5,"Over 6.0m,not exceeding 7.5m",,m³,"2,302.78"
2.5.6,"Over 7.5m,not exceeding 9.0m",,m³,"3,289.68"
2.5.7,"Over 9.0m,not exceeding 10.5in",,m³,"4,699.54"
2.6,Bulk excavation in hard rock,,,
2.6 1,not exceeding 1.5m,,m³,"1,367.93"
2.6 2,"Over 1.50m , not exceeding 3m",,m³,"1,706.24"
2.6.3,"Over 3.0m,not exceeding 4.5m",,m³,"2,050.73"
2.6.4,"Over 4.5m,not exceeding 6.0rn",,m³,"2,791.68"
2.6.5,"Over 6.0m,not exceeding 7.5m",,m³,"3,489.61"
2.6.6,"Over 7.5m,not exceeding 9.0m",,m³,"4,362.01"
2.6.7,"Over 9.0m,not exceeding 10.5in",,m³,"5,131.77"
2.7,Pit excavation in hard rock,,,
2.7.l,not exceeding 1.5m,,m³,"1,658.69"
2.7.2,"Over 1.50m , not exceeding 3m",,m³,"2,050.58"
2.7.3,"Over 3.0m,not exceeding 4.5m",,m³,"2,665.75"
2.7.4,"Over 4.5m,not exceeding 6.0rn",,m³,"3,626.87"
2.7.5,"Over 6.0m,not exceeding 7.5m",,m³,"5, l 81.25"
2.7.6,"Over 7.5m,not exceeding 9.0m",,m³,"7,401 78"
2.7.7,"Over 9.0m,not exceeding 10.5in",,m³,10573.97
2.8,Back fill,,,
2.8. 1,Back fill selected excavated materials from the site.(Mechanized),,m³,975.65
2.8.2,Back fill selected excavated materials from out side the site. (Upto from Quarry site as long as Ploject Site) (Mechanized),,m³,"3,059.40"
2.8.3,Back fill selected excavated mats. from out side the site. (Upto l5km from Quarry site as long as Project Site) (Mechanized),,m³,"2,533.33"
2.8.4,Back fill selected excavated mats. from out side the site. (Upto l0km from Quarry site as long as Project Site) (Mechanized),,m³,"2,173.95"
2.8.5,Baek fill selected excavated mats. from out site the site. (Upto Skin from Quarry site as long as Project Site) (Mechanized),,m³,"1,814.58"
2.8.6,25cm. thick basaltic hard core. (Mechanized),,m³,1059.2
